"ride_id","team_id","miles","ride_date","mode","golden_spoke"
"40","74","21.42","2026-05-05 08:45:32","Bike","no"
"41","75","4","2026-05-05 11:11:48","Bike","no"
"42","77","12","2026-05-05 15:33:23","Bike","no"
"43","100","3.5","2026-05-05 15:59:49","E_Bike","no"
"44","72","0.00000000001","2026-05-05 16:04:33","Bike","maybe"
"45","70","15","2026-05-05 17:59:11","Bike","no"
"46","102","16","2026-05-05 18:46:35","Bike","no"
"47","72","4","2026-05-06 06:00:06","Bike","no"
"48","85","10.25","2026-05-06 08:44:02","Stationary_Bike","no"
"49","76","9","2026-05-06 11:53:44","Bike","no"
"50","71","5","2026-05-06 15:08:04","Walk_Run","no"
"51","102","21","2026-05-06 21:07:29","Stationary_Bike","no"
"52","70","9","2026-05-06 22:03:21","Bike","no"
"53","71","1","2026-05-07 05:18:04","Walk_Run","no"
"54","72","4","2026-05-07 08:26:45","Bike","no"
"55","68","1","2026-05-07 08:29:14","Bike","no"
"56","68","1","2026-05-07 08:29:19","Bike","no"
"57","68","34","2026-05-07 08:29:26","Bike","no"
"58","100","3.5","2026-05-07 08:34:36","E_Bike","no"
"59","100","3.5","2026-05-07 08:34:42","E_Bike","no"
"60","70","8","2026-05-07 09:08:31","Bike","no"
"61","77","33","2026-05-07 09:09:57","Bike","no"
"62","77","4","2026-05-07 09:11:11","Bike","no"
"63","77","6","2026-05-07 16:56:54","Bike","no"
"64","70","7","2026-05-07 19:32:03","Bike","no"
"65","100","3.5","2026-05-07 20:08:52","E_Bike","no"
"66","102","15","2026-05-07 23:18:29","Bike","no"
"67","71","4","2026-05-08 12:02:09","Walk_Run","no"
"68","100","3","2026-05-08 13:55:16","E_Bike","no"
"69","76","3","2026-05-08 15:51:16","Walk_Run","no"
"70","85","23","2026-05-09 07:02:23","Bike","no"
"71","76","10","2026-05-09 13:35:00","Bike","no"
"72","102","187","2026-05-09 16:46:13","Bike","no"
"73","70","3","2026-05-09 18:29:52","Bike","no"
"74","70","52","2026-05-10 06:39:26","Bike","no"
"75","71","9","2026-05-10 10:43:31","Walk_Run","no"
"76","100","3","2026-05-10 14:55:48","E_Bike","no"
"77","89","9.5","2026-05-10 16:01:27","E_Bike","no"
"78","102","10","2026-05-10 21:41:55","Bike","no"
"79","76","5","2026-05-11 08:09:37","Bike","no"
"80","85","6","2026-05-11 08:19:11","Walk_Run","no"
"81","74","12","2026-05-11 10:38:32","Bike","no"
"82","74","11","2026-05-11 10:38:41","Bike","no"
"83","74","18","2026-05-11 10:39:02","Bike","no"
"84","74","11","2026-05-11 10:39:46","Bike","no"
"85","74","11","2026-05-11 10:42:53","Bike","no"
"86","74","3","2026-05-11 10:47:59","Bike","no"
"87","71","1","2026-05-11 11:27:21","Walk_Run","no"
"88","71","3","2026-05-12 05:51:50","Walk_Run","no"
"89","76","7","2026-05-12 07:35:37","Bike","no"
"90","72","5","2026-05-12 08:19:04","Bike","no"
"91","75","4","2026-05-12 08:22:15","Bike","no"
"92","100","3.5","2026-05-12 08:42:25","E_Bike","no"
"93","69","2","2026-05-12 09:09:14","Bike","no"
"94","69","2","2026-05-12 09:09:19","Bike","no"
"95","89","3.2","2026-05-12 09:43:56","E_Bike","no"
"96","85","11","2026-05-12 10:17:16","Stationary_Bike","no"
"97","70","2","2026-05-12 10:25:30","Bike","no"
"98","77","4.4","2026-05-12 11:44:36","Bike","no"
"99","77","24","2026-05-12 11:45:15","Bike","no"
"100","77","4","2026-05-12 11:45:43","E_Bike","no"
"101","73","5","2026-05-12 11:46:08","Bike","no"
"102","77","1","2026-05-12 11:46:15","Walk_Run","no"
"103","99","5","2026-05-12 13:23:05","Bike","no"
"104","89","3.2","2026-05-12 17:27:40","Bike","no"
"105","102","16","2026-05-12 18:16:46","Bike","no"
"106","70","12","2026-05-12 19:27:54","Bike","no"
"107","89","8.2","2026-05-12 21:50:28","E_Bike","no"
"108","89","3.2","2026-05-13 08:07:02","E_Bike","no"
"109","85","16","2026-05-13 08:33:22","Bike","no"
"110","100","3.5","2026-05-13 08:45:09","E_Bike","no"
"111","71","3","2026-05-13 08:48:38","Walk_Run","no"
"112","74","3","2026-05-13 08:57:46","Bike","no"
"113","74","12","2026-05-13 08:57:55","Bike","no"
"114","74","10","2026-05-13 08:58:02","Bike","no"
"115","89","3.2","2026-05-13 12:12:16","E_Bike","no"
"116","68","34","2026-05-13 14:30:26","Bike","no"
"117","89","3.2","2026-05-13 14:37:46","E_Bike","no"
"118","77","17","2026-05-13 15:08:36","Bike","no"
"119","76","5","2026-05-13 15:50:01","Bike","no"
"120","89","4.1","2026-05-13 17:28:44","E_Bike","no"
"121","76","2","2026-05-13 19:16:47","Bike","no"
"122","102","38","2026-05-14 08:18:22","Bike","no"
"123","70","7","2026-05-14 08:32:43","E_Bike","no"
"124","72","4","2026-05-14 08:45:42","Bike","no"
"125","89","3.2","2026-05-14 08:48:51","E_Bike","no"
"126","75","8","2026-05-14 12:59:04","Bike","no"
"127","74","10","2026-05-14 13:15:07","Bike","no"
"128","100","3.5","2026-05-14 15:42:01","E_Bike","no"
"129","89","3.2","2026-05-14 17:48:53","E_Bike","no"
"130","70","8","2026-05-14 18:15:32","E_Bike","no"
"131","102","41","2026-05-14 21:13:56","Bike","no"
"132","68","34","2026-05-15 08:51:22","Bike","no"
"133","77","20","2026-05-15 15:08:44","Bike","no"
"134","77","5","2026-05-15 15:09:35","Bike","no"
"135","71","1.5","2026-05-15 15:19:50","Walk_Run","no"
"136","102","9","2026-05-15 19:30:15","Bike","no"
"137","69","4","2026-05-15 20:03:51","E_Bike","no"
"138","69","4","2026-05-15 20:03:55","E_Bike","no"
"139","71","13.1","2026-05-16 10:55:21","Walk_Run","no"
"140","74","126","2026-05-16 12:37:13","Bike","yes"
"141","74","13","2026-05-16 12:37:38","Bike","no"
"142","102","57","2026-05-16 13:16:49","Bike","no"
"143","89","8.66","2026-05-16 13:37:23","E_Bike","yes"
"144","68","102","2026-05-16 14:39:45","Bike","yes"
"145","68","6","2026-05-16 15:16:43","Bike","no"
"146","76","19","2026-05-16 15:21:34","Bike","no"
"147","70","60","2026-05-16 15:35:43","Bike","yes"
"148","70","8.5","2026-05-16 15:36:00","Bike","no"
"149","92","68","2026-05-16 16:02:29","Bike","yes"
"150","89","7.4","2026-05-16 16:31:31","E_Bike","yes"
"151","100","9","2026-05-16 16:44:32","E_Bike","maybe"
"152","74","8","2026-05-16 18:31:36","Bike","no"
"153","71","3","2026-05-17 11:42:33","Walk_Run","no"
"154","70","17.5","2026-05-17 13:16:51","Bike","no"
"155","102","66","2026-05-17 18:34:41","Bike","no"
"156","72","70","2026-05-18 09:10:01","Bike","yes"
"157","72","1","2026-05-18 11:56:29","Bike","no"
"158","74","11","2026-05-18 12:18:13","Bike","no"
"159","85","6","2026-05-18 12:19:47","Walk_Run","no"
"160","79","10","2026-05-18 14:36:43","Bike","no"
"161","72","3","2026-05-19 08:40:46","Bike","no"
"162","102","54","2026-05-19 09:33:52","Bike","no"
"163","70","7","2026-05-19 10:48:04","Bike","no"
"164","73","10","2026-05-19 15:15:21","Bike","no"
"165","68","35","2026-05-19 15:39:30","Bike","no"
"166","70","8","2026-05-19 20:48:15","Bike","no"
"167","74","45","2026-05-20 07:20:44","Bike","no"
"168","76","10","2026-05-20 07:55:34","Bike","no"
"169","71","1.5","2026-05-20 15:16:04","Walk_Run","no"
"170","76","10","2026-05-20 15:56:54","Bike","no"
"171","102","48","2026-05-21 00:49:28","Bike","no"
"172","85","15","2026-05-21 05:51:30","Stationary_Bike","no"
"173","85","6","2026-05-21 05:51:46","Walk_Run","no"
"174","70","2","2026-05-21 07:02:50","Bike","no"
"175","70","7","2026-05-21 09:02:22","Bike","no"
"176","73","6","2026-05-21 11:23:22","Bike","no"
"177","70","8","2026-05-21 16:52:22","Bike","no"
"178","100","7.5","2026-05-21 18:28:43","E_Bike","no"
"179","100","7","2026-05-21 18:28:48","E_Bike","no"
"180","70","17","2026-05-22 08:00:21","Bike","no"
"181","72","9","2026-05-22 10:03:14","Bike","no"
"182","72","4","2026-05-22 10:31:14","Bike","no"
"183","70","2","2026-05-22 17:17:32","Bike","no"
"184","89","6.8","2026-05-22 19:08:26","Bike","no"
"185","71","3","2026-05-23 14:49:51","Walk_Run","no"
"186","70","50","2026-05-23 16:54:57","Bike","no"
"187","71","3","2026-05-24 11:48:53","Walk_Run","no"
"188","102","55","2026-05-24 14:50:24","Bike","no"
"189","100","3.5","2026-05-24 21:55:44","E_Bike","no"
"190","85","2","2026-05-25 07:23:11","Walk_Run","no"
"191","85","39","2026-05-25 07:23:38","Bike","no"
"192","102","11","2026-05-25 11:51:10","Bike","no"
"193","70","19","2026-05-25 13:07:04","Bike","no"
"194","71","2","2026-05-26 06:01:49","Walk_Run","no"
"195","76","10","2026-05-26 06:59:32","Bike","no"
"196","100","6.5","2026-05-26 08:10:49","E_Bike","no"
"197","70","7","2026-05-26 08:29:31","Bike","no"
"198","102","85","2026-05-26 11:24:27","Bike","no"
"199","89","3.4","2026-05-26 16:23:47","Bike","no"
"200","100","3.5","2026-05-26 16:29:36","E_Bike","no"
"201","70","8","2026-05-26 19:09:59","Bike","no"
"202","89","3.9","2026-05-26 19:35:15","Bike","no"
"203","71","1","2026-05-27 13:27:13","Walk_Run","no"
"204","89","4.4","2026-05-27 15:12:31","Bike","no"
"206","102","61","2026-05-28 03:17:32","Bike","no"
"207","89","8.3","2026-05-28 08:25:28","Bike","no"
"208","85","5","2026-05-28 08:32:27","Walk_Run","no"
"209","100","3.5","2026-05-28 16:32:30","E_Bike","no"
"210","70","6.5","2026-05-28 20:55:10","Bike","no"
"211","102","47","2026-05-29 13:20:04","Bike","no"
"212","70","14","2026-05-29 13:57:40","Bike","no"
"213","89","11.9","2026-05-29 17:08:06","E_Bike","no"
"214","72","21","2026-05-30 07:11:30","Bike","no"
"215","85","13","2026-05-30 07:39:04","Stationary_Bike","no"
"216","76","17","2026-05-30 09:14:48","Bike","no"
"217","102","42","2026-05-30 14:04:10","Bike","no"
"218","70","11.5","2026-05-30 16:52:23","Bike","no"
"219","74","1.5","2026-05-31 07:20:25","Bike","no"
"220","74","58","2026-05-31 07:20:42","Bike","no"
"221","74","40","2026-05-31 07:21:05","Bike","no"
"222","74","5.5","2026-05-31 07:21:16","Bike","no"
"223","74","11","2026-05-31 07:21:36","Bike","no"
"224","74","15","2026-05-31 07:21:42","Bike","no"
"225","74","8","2026-05-31 07:21:52","Bike","no"
"226","74","11","2026-05-31 07:22:02","Bike","no"
"227","74","2","2026-05-31 07:22:11","Bike","no"
"228","76","18","2026-05-31 13:21:55","Bike","no"
"229","70","23","2026-05-31 17:52:37","Bike","no"
